Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
Rank,Theta_PR,Na,University,CC,LC,FC
142,131,2,Paris West University Nanterre La Défense,FR,FR,20
143,130,5,"University of California, San Diego",US,EN,20
144,129,4,University of Melbourne,AU,EN,19
145,129,2,University of Naples Federico II,IT,IT,13
146,128,2,Istanbul Technical University,TR,TR,18
147,128,2,Kansas State University,US,EN,19
148,125,3,University of Lausanne,CH,DE,16
149,124,4,University of British Columbia,CA,EN,20
150,124,3,Goethe University Frankfurt,DE,DE,20
151,124,2,Fudan University,CN,ZH,20
152,123,3,University of Pavia,IT,IT,14
153,123,2,University of Erlangen-Nuremberg,DE,DE,18
154,123,2,University of Tennessee,US,EN,18
155,122,2,Istanbul University,TR,TR,15
156,119,2,Yıldız Technical University,TR,TR,20
157,118,2,Osaka University,JP,JA,18
158,117,2,Taras Shevchenko National University of Kyiv,UA,WR,19
159,116,5,University of Salamanca,ES,ES,12
160,116,3,Shanghai Jiao Tong University,CN,ZH,19
161,116,2,Alexandria University,EG,AR,20
162,114,2,University of Münster,DE,DE,18
163,114,2,Chuo University,JP,JA,19
164,114,2,Radboud University Nijmegen,NL,NL,20
165,114,2,Middle East Technical University,TR,TR,20
166,112,4,National University of Singapore,SG,ZH,20
167,112,2,Dresden University of Technology,DE,DE,19
168,111,3,Tel Aviv University,IL,HE,20
169,111,2,Takushoku University,JP,JA,19
170,110,4,University of Birmingham,UK,EN,19
171,110,2,Marmara University,TR,TR,19
172,110,2,University of Malaya,MY,MS,20
173,106,4,Syracuse University,US,EN,19
174,105,2,Shiraz University,IR,FA,20
175,103,2,National and Kapodistrian University of Athens,GR,EL,19
176,103,2,VU University Amsterdam,NL,NL,19
177,103,2,Università Cattolica del Sacro Cuore,IT,IT,20
178,102,2,Damascus University,SY,AR,20
179,102,2,Umeå University,SE,SV,20
180,102,2,Paris-Sorbonne University,FR,FR,20
181,100,4,University of Latvia,LV,WR,20
182,100,3,Complutense University of Madrid,ES,ES,13
183,100,2,Weizmann Institute of Science,IL,HE,20
184,100,1,Eötvös Loránd University,HU,HU,17
185,100,1,Chulalongkorn University,TH,TH,20
186,100,1,University of Tehran,IR,FA,20
187,100,1,University of the West Indies,JM,EN,20
188,99,2,Maastricht University,NL,NL,20
189,99,1,Budapest University of Technology and Economics,HU,HU,18
190,99,1,Korea University,KR,KO,20
191,99,1,Aristotle University of Thessaloniki,GR,EL,20
192,99,1,Thammasat University,TH,TH,20
193,99,1,Nalanda University,IN,HI,21
194,98,2,University of Barcelona,ES,ES,15
195,98,1,University of Szeged,HU,HU,16
196,98,1,University of São Paulo,BR,PT,19
197,98,1,Yonsei University,KR,KO,19
198,98,1,Adam Mickiewicz University in Poznań,PL,PL,20
199,98,1,Kasetsart University,TH,TH,20
200,98,1,Ankara University,TR,TR,20
201,98,1,Bar-Ilan University,IL,HE,20
202,98,1,University of Málaga,ES,ES,20
203,98,1,Aalborg University,DK,DA,20
204,98,1,Universiti Teknologi Malaysia,MY,MS,20
205,97,2,École pratique des hautes études,FR,FR,19
206,97,2,University of Dhaka,BD,WR,20
207,97,1,Technical University of Denmark,DK,DA,19
208,97,1,Allahabad University,IN,HI,19
209,97,1,Iran University of Science and Technology,IR,FA,20
210,97,1,Mahidol University,TH,TH,20
211,97,1,University of Haifa,IL,HE,20
212,96,3,University of Dublin,IE,EN,16
213,96,3,Panthéon-Assas University,FR,FR,20
214,96,2,University of Pisa,IT,IT,14
215,96,2,Delft University of Technology,NL,NL,19
216,96,2,San Diego State University,US,EN,19
217,96,2,Paris Diderot University,FR,FR,20
218,96,1,University of Pécs,HU,HU,14
219,96,1,Aligarh Muslim University,IN,HI,19
220,96,1,Simón Bolívar University,VE,ES,20
221,96,1,Ben-Gurion University of the Negev,IL,HE,20
222,96,1,National University of Malaysia,MY,MS,20
223,96,1,Ramkhamhaeng University,TH,TH,20
224,96,1,Roskilde University,DK,DA,20
225,95,1,University of Debrecen,HU,HU,16
226,95,1,Patna University,IN,HI,20
227,95,1,Ain Shams University,EG,AR,20
228,95,1,University of Monterrey,MX,ES,20
229,95,1,Isfahan University of Technology,IR,FA,20
230,94,3,University of Warwick,UK,EN,20
231,94,2,Masaryk University,CZ,WR,20
232,94,2,Roma Tre University,IT,IT,20
233,94,1,Indian Institute of Technology Roorkee,IN,HI,19
234,94,1,Boğaziçi University,TR,TR,19
235,94,1,Babeș-Bolyai University,RO,WR,20
236,94,1,Panteion University,GR,EL,20
237,94,1,Hanyang University,KR,KO,20
238,94,1,Srinakharinwirot University,TH,TH,20
239,94,1,Universiti Teknologi MARA,MY,MS,20
240,93,1,Semmelweis University,HU,HU,18
241,93,1,Harvard Medical School,US,EN,18
242,93,1,Tohoku University,JP,JA,20
243,92,2,University of Rome Tor Vergata,IT,IT,14
244,92,2,Kazan (Volga region) Federal University,RU,RU,19
245,92,1,Federal University of Rio de Janeiro,BR,PT,18
246,92,1,Hosei University,JP,JA,19
247,92,1,Corvinus University of Budapest,HU,HU,20
248,92,1,Silpakorn University,TH,TH,20
249,92,1,University of Łódź,PL,PL,20
250,92,1,Ege University,TR,TR,20
251,92,1,University of Patras,GR,EL,20
252,92,1,Universiti Sains Malaysia,MY,MS,20
253,92,1,IT University of Copenhagen,DK,DA,20
254,91,2,Kim Il-sung University,KP,KO,20
255,91,1,University of Oviedo,ES,ES,16
256,91,1,Chung-Ang University,KR,KO,20
257,91,1,Athens University of Economics and Business,GR,EL,20
258,91,1,Nicolaus Copernicus University in Toruń,PL,PL,20
259,91,1,Chiang Mai University,TH,TH,20
260,91,1,Sharif University of Technology,IR,FA,20
261,91,1,Hacettepe University,TR,TR,20
262,90,1,Vilnius University,LT,WR,16
263,90,1,Laval University,CA,EN,17
264,90,1,University of Lucknow,IN,HI,20
265,90,1,Kyung Hee University,KR,KO,20
266,90,1,Allameh Tabataba'i University,IR,FA,20
267,89,1,University of Madras,IN,HI,19
268,89,1,University of Tsukuba,JP,JA,19
269,89,1,Dongguk University,KR,KO,20
270,89,1,Wageningen University and Research Centre,NL,NL,20
